Cluster,Operator,TruckType,Part2,Allocation
E3,DGFC,32 MA,SG1,3
E3,DGFC,32 MA,SG2,4
E3,VARUNA,32 MA,SG1,3
E3,VARUNA,32 MA,SG2,4
E3,KAPOOR,32 MA,SG1,2
E3,KAPOOR,32 MA,SG2,2
E3,ANAND,32 MA,SG1,2
E3,ANAND,32 MA,SG2,2
E3,KTC,32 MA,SG1,2
E3,KTC,32 MA,SG2,2
E3,NCS,32 MA,SG1,1
E3,NCS,32 MA,SG2,2
E3,TRIMURTHI,32 MA,SG2,1
E3,KTC,32 SA,SG2,1
E4,ANAND,32 MA,SG1,4
E4,ANAND,32 MA,SG2,4
E4,KAPOOR,32 MA,SG1,4
E4,KAPOOR,32 MA,SG2,4
E4,VARUNA,32 MA,SG1,4
E4,VARUNA,32 MA,SG2,4
E4,NCS,32 MA,SG1,3
E4,NCS,32 MA,SG2,3
E4,KTC,32 MA,SG1,2
E4,KTC,32 MA,SG2,2
E4,RCI,32 MA,SG1,1
E4,RCI,32 MA,SG2,1
E4,ANAND,32 SA,SG2,1
N4,RCI,32 MA,SG1,8
N4,RCI,32 MA,SG2,9
N4,VARUNA,32 MA,SG1,9
N4,VARUNA,32 MA,SG2,9
N4,EXPRESS,32 MA,SG1,6
N4,EXPRESS,32 MA,SG2,6
N4,LG BROTHERS,32 MA,SG1,5
N4,LG BROTHERS,32 MA,SG2,5
N4,DBRC,32 MA,SG1,2
N4,DBRC,32 MA,SG2,2
N4,COSMO,32 MA,SG1,1
N4,COSMO,32 MA,SG2,2
N4,RCI,32 SA,SG1,4
N4,RCI,32 SA,SG2,4
N4,VARUNA,32 SA,SG1,4
N4,VARUNA,32 SA,SG2,5
N4,EXPRESS,32 SA,SG1,3
N4,EXPRESS,32 SA,SG2,3
N4,LG BROTHERS,32 SA,SG1,2
N4,LG BROTHERS,32 SA,SG2,2
N4,DBRC,32 SA,SG1,1
N4,DBRC,32 SA,SG2,1
N4,COSMO,32 SA,SG2,1
N5,RCI,32 MA,SG1,4
N5,RCI,32 MA,SG2,5
N5,VARUNA,32 MA,SG1,3
N5,VARUNA,32 MA,SG2,4
N5,DRS,32 MA,SG1,3
N5,DRS,32 MA,SG2,3
N5,LG BROTHERS,32 MA,SG1,2
N5,LG BROTHERS,32 MA,SG2,2
N5,DBRC,32 MA,SG1,1
N5,DBRC,32 MA,SG2,2
N5,RCI,32 SA,SG1,1
N5,RCI,32 SA,SG2,1
N5,VARUNA,32 SA,SG1,1
N5,VARUNA,32 SA,SG2,2
N5,DBRC,32 SA,SG1,1
N5,DBRC,32 SA,SG2,1
N5,DRS,32 SA,SG1,1
N5,DRS,32 SA,SG2,1
N5,LG BROTHERS,32 SA,SG2,1
N6,RCI,32 MA,SG1,3
N6,RCI,32 MA,SG2,3
N6,VARUNA,32 MA,SG1,3
N6,VARUNA,32 MA,SG2,3
N6,DRS,32 MA,SG1,2
N6,DRS,32 MA,SG2,3
N6,LG BROTHERS,32 MA,SG1,2
N6,LG BROTHERS,32 MA,SG2,2
N6,DBRC,32 MA,SG1,1
N6,DBRC,32 MA,SG2,2
N6,RCI,32 SA,SG1,2
N6,RCI,32 SA,SG2,2
N6,DRS,32 SA,SG1,1
N6,DRS,32 SA,SG2,2
N6,LG BROTHERS,32 SA,SG1,1
N6,LG BROTHERS,32 SA,SG2,1
N6,VARUNA,32 SA,SG1,1
N6,VARUNA,32 SA,SG2,1
N6,DBRC,32 SA,SG2,1
S,COSMO,32 MA,SG1,24
S,COSMO,32 MA,SG2,29
S,VARUNA,32 MA,SG1,12
S,VARUNA,32 MA,SG2,14
S,EXPRESS,32 MA,SG1,4
S,EXPRESS,32 MA,SG2,6
S,COSMO,32 SA,SG1,6
S,COSMO,32 SA,SG2,7
S,VARUNA,32 SA,SG1,3
S,VARUNA,32 SA,SG2,4
S,EXPRESS,32 SA,SG1,1
S,EXPRESS,32 SA,SG2,1
W3,EXPRESS,32 MA,SG1,8
W3,EXPRESS,32 MA,SG2,8
W3,RCI,32 MA,SG1,6
W3,RCI,32 MA,SG2,6
W3,DGFC,32 MA,SG1,4
W3,DGFC,32 MA,SG2,5
W3,MEGA,32 MA,SG1,4
W3,MEGA,32 MA,SG2,5
W3,APML,32 MA,SG1,3
W3,APML,32 MA,SG2,3
W3,EAST INDIA,32 MA,SG1,3
W3,EAST INDIA,32 MA,SG2,3
W3,SWASTIK,32 MA,SG1,2
W3,SWASTIK,32 MA,SG2,2
W3,DGFC,32 SA,SG1,1
W3,DGFC,32 SA,SG2,1
W3,EXPRESS,32 SA,SG1,1
W3,EXPRESS,32 SA,SG2,1
W3,RCI,32 SA,SG1,1
W3,RCI,32 SA,SG2,1
W3,APML,32 SA,SG2,1
W4,RCI,32 MA,SG1,6
W4,RCI,32 MA,SG2,7
W4,SWASTIK,32 MA,SG1,3
W4,SWASTIK,32 MA,SG2,3
W4,TRUE FREIGHT,32 MA,SG1,2
W4,TRUE FREIGHT,32 MA,SG2,2
W4,RCI,32 SA,SG1,2
W4,RCI,32 SA,SG2,2
W4,SWASTIK,32 SA,SG1,1
W4,SWASTIK,32 SA,SG2,1
W4,TRUE FREIGHT,32 SA,SG2,1
